#ID	Description	sub Description	Division	total	%div	top
S60559	{long control region} [human papillomavirus, type 16, Genomic, 860 nt].	{long control region}	Vertebrates	2	100	S70159S1,S70159S2
S60384	{recombination point} [human, Genomic, 100 nt].	{recombination	Vertebrates	2	100	S51471S1,S51471S2
JF801956	Acanthamoeba castellanii mamavirus strain Hal-V, complete genome.	Acanthamoeba castellanii mamavirus	Invertebrates	4	100	EU827539,EU827540,EU827541,JQ063128
EF535573	Acipenserid herpesvirus 1 terminase gene, partial cds.	Acipenserid herpesvirus 1	Vertebrates	3	100	EF685903,EF685904,EF685905
EF535579	Acipenserid herpesvirus 1 isolate California, USA terminase gene, partial cds.	Acipenserid herpesvirus 1 isolate	Vertebrates	3	100	EF685903,EF685904,EF685905
EF535575	Acipenserid herpesvirus 1 isolate Italy terminase gene, partial cds.	Acipenserid herpesvirus 1 isolate	Vertebrates	3	100	EF685903,EF685904,EF685905
ADRARNA	Adenovirus VA RNA with an La antigen binding site.	Adenovirus	Vertebrates	152	100	EU603438
ADRDBPPV	Adenovirus type 40 DNA-binding protein (DBP) gene, 5' flank, phosphoprotein, 3' end, and pVIII protein gene, 5' end.	Adenovirus type 40	Vertebrates	4	100	ADR40ITR,ADR40E1ABB,ADR40E1ABA,X51782
ADRDBE41	Adenovirus type 41 DNA-binding protein (DBP) gene, 5' flank, phosphoprotein gene, 3' end, and protease VIII gene, 5' end.	Adenovirus type 41 DNA-binding protein (DBP) gene,	Vertebrates	1	100	ADRDBPHX
DQ087276	Aedes pseudoscutellaris reovirus segment 1, complete sequence.	Aedes	Invertebrates	76	55.88	DQ335465
DQ087277	Aedes pseudoscutellaris reovirus segment 2, complete sequence.	Aedes	Invertebrates	76	55.88	DQ335465
DQ087278	Aedes pseudoscutellaris reovirus segment 3, complete sequence.	Aedes	Invertebrates	76	55.88	DQ335465
DQ087279	Aedes pseudoscutellaris reovirus segment 4, complete sequence.	Aedes	Invertebrates	76	55.88	DQ335465
DQ087280	Aedes pseudoscutellaris reovirus segment 5, complete sequence.	Aedes	Invertebrates	76	55.88	DQ335465
DQ087281	Aedes pseudoscutellaris reovirus segment 6, complete sequence.	Aedes	Invertebrates	76	55.88	DQ335465
DQ087282	Aedes pseudoscutellaris reovirus segment 7, complete sequence.	Aedes	Invertebrates	76	55.88	DQ335465
DQ087283	Aedes pseudoscutellaris reovirus segment 8, complete sequence.	Aedes	Invertebrates	76	55.88	DQ335465
DQ087284	Aedes pseudoscutellaris reovirus segment 9, complete sequence.	Aedes	Invertebrates	76	55.88	DQ335465
AY072921	African oil palm ringspot virus, complete genome.	African	Plants	3639	66.09	SAPCPNIB
AF117266	African elephant endotheliolytic herpesvirus DNA polymerase gene, partial cds.	African elephant	Vertebrates	1	100	KF147833
AJ421988	Agaricus bisporus virus X genomic RNA, band VX3BMF.	Agaricus bisporus virus	Fungi	2	100	X94361,X94362
AJ421989	Agaricus bisporus virus X genomic RNA, band VX3DMF.	Agaricus bisporus virus	Fungi	2	100	X94361,X94362
AJ421990	Agaricus bisporus virus X genomic RNA, band VX3DMR.	Agaricus bisporus virus	Fungi	2	100	X94361,X94362
